lat	lon	title	iconSize	iconOffset	icon	description
-34.670014	138.826219	Local Wildlife	21,25	-10,-25	vendor/OpenLayers2/img/marker-green.png	<img src='img/geolocated/07102012276.jpg.thm'></img><br><img src='img/geolocated/07102012276.jpg.thm'></img>
-34.656708	138.825736	Victoria Hill Rush	21,25	-10,-25	vendor/OpenLayers2/img/marker-gold.png	<img src='img/geolocated/01102012178.jpg.thm'></img><br><img src='img/geolocated/01102012178.jpg.thm'></img>
-34.657767	138.828097	Trail	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012205.jpg.thm'></img><br><img src='img/geolocated/01102012205.jpg.thm'></img>
-34.656822	138.827939	Poppet Head	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012217.jpg.thm'></img><br><img src='img/geolocated/01102012217.jpg.thm'></img>
-34.668106	138.821425	title	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012273.jpg.thm'></img><br><img src='img/geolocated/07102012273.jpg.thm'></img>
-34.663556	138.819128	View	21,25	-10,-25	vendor/OpenLayers2/img/marker-green.png	<img src='img/geolocated/07102012237.jpg.thm'></img><br><img src='img/geolocated/07102012237.jpg.thm'></img>
-34.658161	138.828200	Entrance	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	The entrance to Bowden's cottage area<br><img src='img/geolocated/01102012204.jpg.thm'></img><br><img src='img/geolocated/01102012204.jpg.thm'></img>
-34.657169	138.828164	Bowden's Cottage	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012212.jpg.thm'></img><br><img src='img/geolocated/01102012212.jpg.thm'></img>
-34.658325	138.825564	Cottage	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012194.jpg.thm'></img><br><img src='img/geolocated/01102012194.jpg.thm'></img>
-34.658592	138.824622	Belle of Barossa Mine	21,25	-10,-25	vendor/OpenLayers2/img/marker-gold.png	<img src='img/geolocated/01102012196.jpg.thm'></img><br><img src='img/geolocated/01102012196.jpg.thm'></img>
-34.667911	138.821219	title	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012266.jpg.thm'></img><br><img src='img/geolocated/07102012266.jpg.thm'></img>
-34.656997	138.828117	Poppet Head	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012214.jpg.thm'></img><br><img src='img/geolocated/01102012214.jpg.thm'></img>
-34.665733	138.819550	Tunnel	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012248.jpg.thm'></img><br><img src='img/geolocated/07102012248.jpg.thm'></img>
-34.664797	138.821408	View	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012241.jpg.thm'></img><br><img src='img/geolocated/07102012241.jpg.thm'></img>
-34.657331	138.828150	Bowden's Cottage	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012208.jpg.thm'></img><br><img src='img/geolocated/01102012208.jpg.thm'></img>
-34.664525	138.821328	View	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012239.jpg.thm'></img><br><img src='img/geolocated/07102012239.jpg.thm'></img>
-34.656847	138.825200	Shaft	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/01102012183.jpg.thm'></img><br><img src='img/geolocated/01102012183.jpg.thm'></img>
-34.666342	138.820114	title	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012250.jpg.thm'></img><br><img src='img/geolocated/07102012250.jpg.thm'></img>
-34.664811	138.821400	View	21,25	-10,-25	vendor/OpenLayers2/img/marker.png	<img src='img/geolocated/07102012242.jpg.thm'></img><br><img src='img/geolocated/07102012242.jpg.thm'></img>
